DOMAINPRODUCTGROUP,COUNTRY,PERIOD,REPORTINGCHANNEL,BRAND,Item,AIRPLAY,GOOGLECAST/HOME,CONSUMP STANDBY,CONSUMPTION W,CURVED SCREEN,DISPLAY TECHNOL,HD TYPES,LED,RESOLUTION,SCREEN FORMAT,Signal Source,HDMI STANDARD,SIZE/INCH,Smart TV,SMART TV UI,HDR & DOLBY VIS,OPERATING SYST.,DTSX/DOLATMOS,DTSVIX/DOLHEIVI,GPU SYNC,MINILED BACKLIT,OLED/QLED,SERIES,SMART CONNECT,VERTICAL FREQ.,VRR,WCG,FirstActivity,POSType/Channel,SALES UNITS,SALES VALUE EUR,SALES VALUE SAR,PRICE EUR,PRICE SAR,UNW. AVG. DISTRIBUTION SELLING,WGT. AVG. DISTRIBUTION SELLING
PTV/FLAT,SAUDI ARABIA,JAN 23,PANELMARKET,SAMSUNG,UA43MU7000,NO AIRPLAY,,UNKNOWN,145,NOT CURVED,LCD-DISPLAY,ULTRA HD/4K (3840X2160P),LED,3840X2160,16:09:00,DVB-T/T2,N.A.,43,SMART TV,SAMSUNG TIZEN,HDR10,,NO,NO,NO GPU SYNC,NO MINILED,LCD ONLY,SAM. U70,SMART APP CTRL.,N.A.,N.A.,NO WCG,AUGUST 2017,MASS MERCHANDISERS/DIYSS,2,368,1477,184,738,0.7,0.2
PTV/FLAT,SAUDI ARABIA,JAN 24,PANELMARKET,LG,49UJ630V,NO AIRPLAY,,0.3,UNKNOWN,NOT CURVED,LCD-DISPLAY,ULTRA HD/4K (3840X2160P),LED,3840X2160,16:09:00,DVB-T/T2/S/C,N.A.,49,SMART TV,LG WEB OS,HDR10,,NO,NO,NO GPU SYNC,NO MINILED,LCD ONLY,LG U63,SMART APP CTRL.,N.A.,N.A.,NO WCG,JULY 2017,MASS MERCHANDISERS/DIYSS,1,219,899,219,899,0.3,1.4
PTV/FLAT,SAUDI ARABIA,JAN 24,PANELMARKET,ARRQW,RO-50LPS,NO AIRPLAY,,UNKNOWN,UNKNOWN,NOT CURVED,LCD-DISPLAY,ULTRA HD/4K (3840X2160P),LED,3840X2160,16:09:00,DVB-T/T2,VERSION UNKNOWN,50,SMART TV,ANDR/GOOGLE TV,HDR10,,NO,NO,NO GPU SYNC,NO MINILED,LCD ONLY,N.A.,SMART APP CTRL.,N.A.,N.A.,NO WCG,FEBRUARY 2021,MASS MERCHANDISERS/DIYSS,168.9249,35182,144426,208,855,12.8,14
PTV/FLAT,SAUDI ARABIA,JAN 23,PANELMARKET,TOSHIBA,50U5965,NO AIRPLAY,,0.49,149.9,NOT CURVED,LCD-DISPLAY,ULTRA HD/4K (3840X2160P),LED,3840X2160,16:09:00,DVB-T/T2/S/C,VERSION UNKNOWN,50,SMART TV,OTHER SMART UI,HDR10,,NO,NO,NO GPU SYNC,NO MINILED,LCD ONLY,N.A.,SMART APP CTRL.,N.A.,N.A.,NO WCG,JULY 2020,MASS MERCHANDISERS/DIYSS,2,696,2790,348,1395,0.4,0.2
PTV/FLAT,SAUDI ARABIA,JAN 23,PANELMARKET,TOSHIBA,50U5069,NO AIRPLAY,,0.5,130,NOT CURVED,LCD-DISPLAY,ULTRA HD/4K (3840X2160P),LED,3840X2160,16:09:00,DVB-T/T2/S/C,VERSION UNKNOWN,50,SMART TV,OTHER SMART UI,HDR10,,NO,NO,NO GPU SYNC,NO MINILED,LCD ONLY,N.A.,SMART APP CTRL.,N.A.,N.A.,NO WCG,NOVEMBER 2020,MASS MERCHANDISERS/DIYSS,32.7978,10871,43566,331,1328,18.8,32.8
PTV/FLAT,SAUDI ARABIA,JAN 24,PANELMARKET,TOSHIBA,50U5069,NO AIRPLAY,,0.5,130,NOT CURVED,LCD-DISPLAY,ULTRA HD/4K (3840X2160P),LED,3840X2160,16:09:00,DVB-T/T2/S/C,VERSION UNKNOWN,50,SMART TV,OTHER SMART UI,HDR10,,NO,NO,NO GPU SYNC,NO MINILED,LCD ONLY,N.A.,SMART APP CTRL.,N.A.,N.A.,NO WCG,NOVEMBER 2020,MASS MERCHANDISERS/DIYSS,2.05,475,1948,231,950,0.6,0.5
PTV/FLAT,SAUDI ARABIA,JAN 23,PANELMARKET,TOSHIBA,55U5069,NO AIRPLAY,,0.5,130,NOT CURVED,LCD-DISPLAY,ULTRA HD/4K (3840X2160P),LED,3840X2160,16:09:00,DVB-T/T2/S/C,VERSION UNKNOWN,55,SMART TV,OTHER SMART UI,HDR10,,NO,NO,NO GPU SYNC,NO MINILED,LCD ONLY,N.A.,SMART APP CTRL.,N.A.,N.A.,NO WCG,JULY 2021,MASS MERCHANDISERS/DIYSS,49.527,18393,73711,371,1488,12.7,36.1
PTV/FLAT,SAUDI ARABIA,JAN 23,PANELMARKET,G-TEN,50 UHD SMART,NO AIRPLAY,,UNKNOWN,UNKNOWN,NOT CURVED,LCD-DISPLAY,ULTRA HD/4K (3840X2160P),LED,3840X2160,16:09:00,N.A.,VERSION UNKNOWN,50,SMART TV,ANDR/GOOGLE TV,HDR10,,NO,NO,NO GPU SYNC,NO MINILED,LCD ONLY,N.A.,SMART APP CTRL.,N.A.,N.A.,NO WCG,SEPTEMBER 2020,MASS MERCHANDISERS/DIYSS,22.938,5223,20931,228,913,9.1,26.9
PTV/FLAT,SAUDI ARABIA,JAN 24,PANELMARKET,G-TEN,PRIVATE LABEL,NO AIRPLAY,,UNKNOWN,UNKNOWN,NOT CURVED,LCD-DISPLAY,ULTRA HD/4K (3840X2160P),LED,3840X2160,16:09:00,N.A.,VERSION UNKNOWN,50,SMART TV,ANDR/GOOGLE TV,HDR10,,NO,NO,NO GPU SYNC,NO MINILED,LCD ONLY,N.A.,SMART APP CTRL.,N.A.,N.A.,NO WCG,SEPTEMBER 2020,MASS MERCHANDISERS/DIYSS,11.2486,2463,10112,219,899,0.3,15.5
PTV/FLAT,SAUDI ARABIA,JAN 24,PANELMARKET,HAIER,H65K6UG,NO AIRPLAY,,UNKNOWN,UNKNOWN,NOT CURVED,LCD-DISPLAY,ULTRA HD/4K (3840X2160P),LED,3840X2160,16:09:00,N.A.,VERSION UNKNOWN,65,SMART TV,ANDR/GOOGLE TV,HDR10,,NO,NO,NO GPU SYNC,NO MINILED,LCD ONLY,N.A.,SMART APP CTRL.,N.A.,N.A.,NO WCG,AUGUST 2020,MASS MERCHANDISERS/DIYSS,62.416,26113,107196,418,1717,0.6,25.3
PTV/FLAT,SAUDI ARABIA,JAN 23,PANELMARKET,SAMSUNG,UA70AU7000,NO AIRPLAY,,UNKNOWN,240,NOT CURVED,LCD-DISPLAY,ULTRA HD/4K (3840X2160P),LED,3840X2160,16:09:00,DVB-T/T2/S/C,VERSION UNKNOWN,70,SMART TV,SAMSUNG TIZEN,HDR10+,,NO,NO,NO GPU SYNC,NO MINILED,LCD ONLY,SAM. U70,SMART APP CTRL.,N.A.,N.A.,NO WCG,APRIL 2021,MASS MERCHANDISERS/DIYSS,14.124,20932,83884,1482,5939,8.7,38.4
PTV/FLAT,SAUDI ARABIA,JAN 23,PANELMARKET,SAMSUNG,UA85AU7000,NO AIRPLAY,,UNKNOWN,260,NOT CURVED,LCD-DISPLAY,ULTRA HD/4K (3840X2160P),LED,3840X2160,16:09:00,DVB-T/T2/S/C,VERSION UNKNOWN,85,SMART TV,SAMSUNG TIZEN,HDR10+,,NO,NO,NO GPU SYNC,NO MINILED,LCD ONLY,SAM. U70,SMART APP CTRL.,N.A.,N.A.,NO WCG,FEBRUARY 2022,MASS MERCHANDISERS/DIYSS,3.6,14506,58132,4029,16148,7.6,30.5
PTV/FLAT,SAUDI ARABIA,JAN 23,PANELMARKET,GVC PRO,LD-55TVUS,NO AIRPLAY,,UNKNOWN,UNKNOWN,NOT CURVED,LCD-DISPLAY,ULTRA HD/4K (3840X2160P),LED,3840X2160,16:09:00,DVB-T/T2,VERSION UNKNOWN,55,SMART TV,OTHER SMART UI,NO HDR / NO DV,,NO,NO,NO GPU SYNC,NO MINILED,LCD ONLY,N.A.,SMART APP CTRL.,N.A.,N.A.,NO WCG,MARCH 2022,MASS MERCHANDISERS/DIYSS,5.526,1552,6221,281,1126,0.4,6.6
PTV/FLAT,SAUDI ARABIA,JAN 24,PANELMARKET,GVC PRO,LD-55TVUS,NO AIRPLAY,,UNKNOWN,UNKNOWN,NOT CURVED,LCD-DISPLAY,ULTRA HD/4K (3840X2160P),LED,3840X2160,16:09:00,DVB-T/T2,VERSION UNKNOWN,55,SMART TV,OTHER SMART UI,NO HDR / NO DV,,NO,NO,NO GPU SYNC,NO MINILED,LCD ONLY,N.A.,SMART APP CTRL.,N.A.,N.A.,NO WCG,MARCH 2022,MASS MERCHANDISERS/DIYSS,7.3989,2490,10220,336,1381,0.3,15.5
